Nation,LAD,MSOA,LSOA.DZ.CD,LSOA.DZ.NM,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
Scotland,S12000047,-,S01009390,Dalgety Letham Hill South,0.35,0.12,3,50418,1,2,0.01,2,263500,1,23668,122,1,1,309,18247,3649
Scotland,S12000047,-,S01009391,Dalgety Letham Hill,0.41,0.12,3,49177,1,1,0.01,2,152000,1,26752,88,1,1,288,16371,3274
Scotland,S12000047,-,S01009392,Dalgety Letham Farm,0.41,0.09,3,50063,1,2,0.01,2,185124,1,21060,81,1,1,227,17909,3582
Scotland,S12000047,-,S01009393,Hillend,0.36,0.20,3,40428,1,2,0.02,2,170500,1,20792,92,1,1,265,16962,3392
Scotland,S12000047,-,S01009394,Dalgety Steeple Clump,0.28,0.35,3,30630,1,3,0.03,2,135000,2,18000,75,1,1,366,17727,3545
Scotland,S12000047,-,S01009395,Dalgety Bay East,0.27,0.41,3,32368,1,2,0.01,2,160000,1,21100,100,1,1,226,19080,3816
Scotland,S12000047,-,S01009396,Dalgety Bay South East,0.29,0.34,3,37866,1,2,0.02,2,371576,1,26026,143,1,1,210,16350,3270
Scotland,S12000047,-,S01009397,Dalgety St Davids Clump,0.33,0.27,3,32255,1,2,0.03,2,157500,1,12402,53,1,1,274,17635,3527
Scotland,S12000047,-,S01009398,Dalgety Bogend Wood,0.35,0.21,3,34419,1,1,0.05,2,125000,1,14580,54,1,1,269,16638,3327
Scotland,S12000047,-,S01009399,Dalgety Longhill Park,0.29,0.29,4,33554,1,2,0.05,2,161750,1,21837,87,1,1,276,18429,3686
Scotland,S12000047,-,S01009400,Dalgety Donibristle South,0.40,0.24,4,31227,1,3,0.07,2,174000,1,23496,88,1,1,159,14502,2900
Scotland,S12000047,-,S01009401,Dalgety Ross Plantation,0.29,0.36,4,32041,1,2,0.04,2,161750,1,25116,92,1,1,204,19026,3805
Scotland,S12000047,-,S01009402,Dalgety Crow Hill,0.29,0.32,4,33015,1,2,0.04,2,174000,1,28322,98,1,1,292,17500,3500
Scotland,S12000047,-,S01009403,Dalgety Donibristle and Hillend,0.41,0.19,3,38536,1,1,0.05,2,174000,1,24130,95,1,1,214,16111,3222
Scotland,S12000047,-,S01009404,Halbeath,0.47,0.14,4,28102,1,1,0.18,1,80250,1,19173,83,1,1,483,13154,8719
Scotland,S12000047,-,S01009405,Crossgates South Knowe and Annfield,0.34,0.26,4,37585,1,2,0.04,1,232500,1,19434,82,1,1,465,13284,8805
Scotland,S12000047,-,S01009406,Crossgates North,0.34,0.29,4,28529,1,1,0.08,1,88000,1,16380,60,1,1,1160,15734,10429
Scotland,S12000047,-,S01009407,Crossgates North East,0.33,0.25,3,29164,1,1,0.06,1,95500,1,20808,72,1,1,658,15859,10512
Scotland,S12000047,-,S01009408,Crossgates North Knowe,0.37,0.18,3,36602,1,2,0.04,1,132500,1,25854,139,1,1,1105,15032,9963
Scotland,S12000047,-,S01009409,Hill of Beath and Landward,0.47,0.17,2,24079,1,1,0.09,1,150000,1,18150,75,1,1,725,13145,8713
Scotland,S12000047,-,S01009410,Beath Woodend,0.41,0.17,3,29319,2,1,0.12,1,107408,1,22509,61,1,1,822,15341,10168
Scotland,S12000047,-,S01009411,Hill of Beath,0.42,0.20,3,26328,1,1,0.14,1,105000,1,20736,81,1,1,815,15014,9952
Scotland,S12000047,-,S01009412,Beath South West,0.41,0.17,4,23798,1,1,0.16,1,110000,1,24240,80,1,1,826,14129,9365
Scotland,S12000047,-,S01009413,Cowdenbeath North West,0.37,0.22,4,26046,1,1,0.11,1,82500,1,9945,51,1,1,1172,16369,10850
Scotland,S12000047,-,S01009414,Cowdenbeath Foulford,0.40,0.25,4,26227,1,3,0.08,1,96000,1,21912,88,1,1,785,15474,10257
Scotland,S12000047,-,S01009415,Cowdenbeath North,0.34,0.18,4,23685,1,1,0.13,1,150498,1,22350,75,1,1,707,15797,10471
Scotland,S12000047,-,S01009416,Cowdenbeath Glenfield,0.35,0.22,4,40445,1,2,0.07,1,150000,1,23655,83,1,1,770,16235,10761
Scotland,S12000047,-,S01009417,Leuchatsbeath,0.53,0.11,2,40019,1,2,0.04,1,185000,1,21336,84,1,1,480,17189,11393
Scotland,S12000047,-,S01009418,Cowdenbeath North East,0.36,0.20,3,24210,1,1,0.13,1,75000,1,15180,55,1,1,1183,15344,10171
Scotland,S12000047,-,S01009419,Kelty Elmwood,0.47,0.16,3,27184,1,1,0.15,2,91875,1,14941,67,1,1,174,18982,3796
